Size of Seed Set,Running Time[s]
1,1578564392.7006228
2,1578564400.530595
3,1578564408.4976602
4,1578564416.5407364
5,1578564424.648859
6,1578564432.5164988
7,1578564440.390504
8,1578564448.21601
9,1578564456.0263624
10,1578564463.8472612
11,1578564471.69428
12,1578564479.5495849
13,1578564487.3744507
14,1578564495.2121413
15,1578564503.0115695
16,1578564510.8494878
17,1578564518.6619103
18,1578564526.5021508
19,1578564534.3914223
20,1578564542.4030159
21,1578564550.5162563
22,1578564558.6402469
23,1578564566.6416123
24,1578564574.548428
25,1578564582.5350823
26,1578564590.4228725
27,1578564598.5321863
28,1578564606.4351926
29,1578564614.592442
30,1578564622.5675042
31,1578564630.693387
32,1578564638.5213878
33,1578564646.350001
34,1578564654.163191
35,1578564662.0336452
36,1578564669.8524084
37,1578564677.7053077
38,1578564685.5941033
39,1578564693.4481301
40,1578564701.3230937
41,1578564709.1885514
42,1578564717.0815923
43,1578564724.9402518
44,1578564732.818353
45,1578564740.7211497
46,1578564748.6129973
47,1578564756.4643302
48,1578564764.3705494
49,1578564772.2247386
50,1578564780.0664022
