Size of Seed Set,Running Time[s]
1,1578560954.4054601
2,1578560990.5302637
3,1578561009.8651032
4,1578561029.1486912
5,1578561048.3858762
6,1578561067.6023662
7,1578561086.9162407
8,1578561106.2247975
9,1578561125.5416646
10,1578561144.903264
11,1578561164.1542907
12,1578561183.4662473
13,1578561202.5908456
14,1578561221.8124375
15,1578561241.0059488
16,1578561260.3174624
17,1578561279.7087357
18,1578561298.8168297
19,1578561318.1250536
20,1578561337.407653
21,1578561356.727872
22,1578561376.039907
23,1578561395.2333617
24,1578561415.0515108
25,1578561434.9048388
26,1578561454.4873302
27,1578561473.982063
28,1578561493.6181257
29,1578561513.238762
30,1578561532.5710611
31,1578561552.094862
32,1578561571.5023916
33,1578561590.7694292
34,1578561610.063878
35,1578561629.2475169
36,1578561648.42901
37,1578561667.6044574
38,1578561686.7844117
39,1578561705.9638839
40,1578561725.0601609
41,1578561744.158634
42,1578561763.3211946
43,1578561782.4226809
44,1578561801.9327874
45,1578561821.2199142
46,1578561840.3730469
47,1578561859.8266292
48,1578561879.115078
49,1578561898.5076292
50,1578561917.5875669
