Size of Seed Set,Running Time[s]
1,246.98886132240295
2,118.6113588809967
3,206.6412651538849
4,152.31215953826904
5,100.25141954421997
6,87.11770510673523
7,211.27682065963745
8,165.32867455482483
9,198.02458572387695
10,153.25289273262024
11,179.59946036338806
12,118.60447955131531
13,165.28390049934387
14,94.7211480140686
15,138.2702341079712
16,82.90665888786316
17,159.07188248634338
18,125.43628430366516
19,201.71594738960266
20,152.70406222343445
21,176.21884441375732
22,89.47945713996887
23,131.2362620830536
24,156.5274040699005
25,159.251229763031
26,113.22125363349915
27,106.55768394470215
28,100.07603359222412
29,108.10833263397217
30,156.58176708221436
31,156.67558217048645
32,164.65480160713196
33,174.20323634147644
34,158.4178647994995
35,209.04993200302124
36,211.9658648967743
37,163.21140336990356
38,182.20374631881714
39,130.28502321243286
40,184.44283628463745
41,148.69850659370422
42,181.91332364082336
43,118.5276563167572
44,164.82674360275269
45,141.12378883361816
46,217.81787109375
47,210.4372363090515
48,199.4458622932434
49,114.3612961769104
50,160.54963493347168
