Size of Seed Set,Running Time[s]
1,306.19295144081116
2,336.5056502819061
3,265.2567639350891
4,374.02519702911377
5,375.44469380378723
6,200.4145495891571
7,231.39740896224976
8,316.7367262840271
9,144.73551297187805
10,170.6063461303711
11,197.0223789215088
12,244.53326725959778
13,201.49042582511902
14,236.18211150169373
15,226.36849689483643
16,183.1675319671631
17,227.78718614578247
18,224.33718943595886
19,209.97091937065125
20,251.54016423225403
21,225.83015298843384
22,284.3175003528595
23,296.27064180374146
24,236.78847908973694
25,172.0275363922119
26,205.7456350326538
27,203.38706159591675
28,230.19644808769226
29,188.41753363609314
30,224.15903496742249
31,187.35142040252686
32,173.67025303840637
33,200.71666598320007
34,259.2575898170471
35,231.20772624015808
36,262.19961309432983
37,267.98904156684875
38,201.65092778205872
39,187.77883219718933
40,187.533931016922
41,208.88412594795227
42,246.21277689933777
43,168.90000534057617
44,241.81723999977112
45,225.21822810173035
46,239.46405792236328
47,236.38698720932007
48,265.6557466983795
49,203.13215494155884
50,248.91304636001587
