,WC,P001,P0001
0,0.0,0.0,0.0
2,2447.132,191.692,2.2356
4,3999.1268,273.2392,4.3708
6,4999.6072,312.2156,6.4152
8,5834.8964,348.7208,8.7452
10,6271.5016,386.7992,10.9944
12,6802.3356,412.0804,13.0344
14,7263.8364,433.116,15.1428
16,7653.322,453.132,17.41
18,8105.7456,472.8072,19.5544
20,8499.3992,495.8892,21.914
22,8837.2028,511.7464,24.2428
24,9211.602,523.5616,26.7944
26,9423.4048,534.9692,29.038
28,9725.1916,547.7052,31.8236
30,9944.91,560.496,33.9884
32,10151.2236,571.3936,36.8184
34,10421.92,586.2028,39.0984
36,10637.5028,598.5684,41.3388
38,10885.6212,606.3376,43.6932
40,11042.67,614.9532,45.9732
42,11236.2052,623.7428,49.0196
44,11414.488,632.9372,51.1252
46,11641.014,643.0136,53.4504
48,11852.8032,655.1852,55.5372
50,12016.6456,664.3476,57.604
