,WC,TR,P=0_1,P=0_01,P=0_001
0,763.0,5232.0,11581.0,645.0,645.0
1,634.0,1669.0,7592.0,634.0,763.0
2,645.0,770.0,44812.0,763.0,634.0
3,5232.0,1835.0,4920.0,71399.0,71399.0
4,71399.0,3924.0,11780.0,145.0,3924.0
5,3924.0,1720.0,31923.0,3924.0,44.0
6,1835.0,6036.0,18693.0,1059.0,5232.0
7,5227.0,7427.0,9057.0,637.0,1059.0
8,637.0,1059.0,23827.0,5232.0,637.0
9,2969.0,3952.0,24644.0,1225.0,34.0
10,1059.0,1847.0,27765.0,661.0,737.0
11,145.0,4920.0,6931.0,1669.0,1835.0
12,4920.0,11581.0,32367.0,44.0,824.0
13,2066.0,5425.0,3227.0,824.0,145.0
14,1225.0,4092.0,1869.0,3850.0,1225.0
15,7047.0,1727.0,50268.0,1835.0,1.0
16,1720.0,6774.0,9419.0,629.0,770.0
17,2704.0,5224.0,9164.0,279.0,1516.0
18,1596.0,12776.0,27084.0,2704.0,2066.0
19,9412.0,7047.0,12231.0,1379.0,1596.0
20,1539.0,7392.0,9827.0,770.0,31.0
21,5224.0,16248.0,6769.0,1720.0,27.0
22,1669.0,71399.0,20680.0,1501.0,2969.0
23,629.0,1851.0,5975.0,1596.0,1720.0
24,1533.0,5503.0,19859.0,1727.0,18.0
25,44.0,1189.0,16310.0,7427.0,661.0
26,5144.0,1447.0,15624.0,1626.0,725.0
27,824.0,1209.0,14459.0,492.0,5227.0
28,6003.0,3865.0,24283.0,4929.0,1669.0
29,770.0,6508.0,6013.0,2969.0,143.0
30,1172.0,5382.0,9739.0,1636.0,3850.0
31,6774.0,7592.0,1209.0,1638.0,590.0
32,2118.0,6003.0,4209.0,119.0,738.0
33,1409.0,50959.0,5090.0,5227.0,35.0
34,3850.0,2410.0,48460.0,2279.0,546.0
35,71388.0,12810.0,24540.0,652.0,2118.0
36,1501.0,3531.0,19104.0,1539.0,2704.0
37,3527.0,1805.0,69187.0,1494.0,492.0
38,16248.0,5113.0,19406.0,3234.0,418.0
39,661.0,7421.0,33240.0,5224.0,443.0
40,7392.0,600.0,13260.0,4017.0,629.0
41,4931.0,3805.0,3161.0,4010.0,7427.0
42,650.0,763.0,5639.0,1847.0,1396.0
43,5382.0,4918.0,5384.0,590.0,1727.0
44,546.0,1450.0,5435.0,6467.0,40.0
45,6489.0,3519.0,11801.0,1476.0,735.0
46,3415.0,616.0,4160.0,2729.0,918.0
47,1727.0,5791.0,19849.0,481.0,1172.0
48,7394.0,831.0,7393.0,650.0,1626.0
49,7687.0,3220.0,7971.0,2277.0,1409.0
