Size of Seed Set,Running Time[s]
1,17445.23559641838
2,122.83092308044434
3,224.11748552322388
4,335.9064118862152
5,381.53870272636414
6,485.9894051551819
7,871.4083778858185
8,645.2647216320038
9,711.1027624607086
10,771.7524626255035
11,841.1693570613861
12,1714.08344912529
13,958.0864768028259
14,1668.034773349762
15,782.5319726467133
16,5736.183233976364
17,643.7563416957855
18,1125.748841047287
19,818.2498934268951
20,989.6557946205139
21,878.1485636234283
22,3548.1465101242065
23,674.6072041988373
24,697.2038960456848
25,718.4966189861298
26,1787.975802898407
27,1372.9470167160034
28,782.3420302867889
29,2415.976938009262
30,1324.5645422935486
31,1855.8025588989258
32,1376.9880871772766
33,1232.995724439621
34,722.5552351474762
35,1843.205625295639
36,1691.8347356319427
37,1915.5075306892395
38,1362.379105091095
39,991.3365757465363
40,2219.7675721645355
41,2466.617755651474
42,2095.12220287323
43,10865.984141111374
44,6256.229699373245
45,1977.7513301372528
46,2448.0641865730286
47,2030.5746207237244
48,1142.7896451950073
49,4625.637009859085
50,1405.662923336029
