Size of Seed Set,Running Time[s]
1,31009.409326076508
2,481.98827719688416
3,866.1772453784943
4,830.4083697795868
5,1162.0474548339844
6,1398.996587753296
7,1646.5200264453888
8,1663.1341123580933
9,1466.7529501914978
10,1793.4828705787659
11,5358.459947109222
12,1592.065144777298
13,13441.806890010834
14,2050.320381641388
15,2399.9453105926514
16,4497.3427929878235
17,2943.509896993637
18,3353.8585023880005
19,8613.53160572052
20,3582.686523914337
21,2694.6936769485474
22,7594.577435016632
23,15249.514527082443
24,2181.4193732738495
25,2630.216207742691
26,1941.3865201473236
27,10000.06512594223
28,9390.684751987457
29,2503.390209913254
30,4246.0255579948425
31,27741.065119981766
32,4860.456478357315
33,4557.435991764069
34,10669.541523694992
35,1886.7106356620789
36,20748.486970424652
37,5822.06964802742
38,2996.3844463825226
39,14140.379326105118
40,11265.559771299362
41,3616.623753786087
42,14283.213468313217
43,5883.930899381638
44,15832.142136335373
45,6679.273777008057
46,33572.217462301254
47,2258.425537109375
48,5135.621037244797
49,17351.121403694153
50,1767.5774760246277
