Size of Seed Set,Running Time[s]
1,54789.15324783325
2,2717.5756573677063
3,3907.7349784374237
4,11800.736882209778
5,3230.3860671520233
6,5568.57935500145
7,13920.794644832611
8,4476.670778989792
9,7198.7410225868225
10,5155.589784622192
11,7250.830417871475
12,37426.250193595886
13,33859.914023160934
14,6337.959397315979
15,17791.12795996666
16,17167.237528562546
17,22468.595222711563
18,7277.7784876823425
19,7460.248809099197
20,22043.8785674572
21,11867.236381053925
22,8025.962190151215
23,47344.593368053436
24,9864.929649353027
25,15854.53879070282
26,25026.30993247032
27,16432.600459575653
28,22996.582225561142
29,82809.30160880089
30,9572.3707883358
31,16236.21564745903
32,13110.776574134827
33,10061.641824483871
34,15269.780687570572
35,31157.289113521576
36,12258.057131767273
37,16032.867750167847
38,12656.886291980743
39,99410.63703370094
40,11113.601128101349
41,7465.262618780136
42,5676.049754142761
43,32343.757087230682
44,44279.90412855148
45,34938.57716917992
46,13783.841603755951
47,13928.311498880386
48,12063.90249633789
49,46681.665962696075
50,10244.121601343155
