Size of Seed Set,Running Time[s]
1,9.08044147491455
2,17.131861448287964
3,26.804076433181763
4,32.17008090019226
5,42.41736102104187
6,47.29030895233154
7,53.53924298286438
8,59.2063524723053
9,63.87009596824646
10,74.07799744606018
11,77.13834357261658
12,80.25695824623108
13,86.83396244049072
14,92.08983945846558
15,98.57088160514832
16,105.63634848594666
17,110.57835817337036
18,114.78535509109497
19,121.3064329624176
20,123.17329216003418
21,126.88176798820496
22,131.2815866470337
23,133.3863959312439
24,142.57404232025146
25,145.07883429527283
26,148.44353079795837
27,153.26788234710693
28,159.45880460739136
29,163.92434906959534
30,168.92180562019348
31,170.95934987068176
32,176.55927777290344
33,184.8520166873932
34,186.8147156238556
35,192.2624168395996
36,194.58245515823364
37,198.13783383369446
38,205.093097448349
39,208.7227122783661
40,215.4035291671753
41,218.0241894721985
42,220.63142824172974
43,226.56376481056213
44,230.4852113723755
45,234.3578450679779
46,241.19708371162415
47,243.48094964027405
48,246.60598731040955
49,249.7914674282074
50,249.8492124080658
