Size of Seed Set,Running Time[s]
1,14.2785804271698
2,29.995387077331543
3,43.33843207359314
4,56.59593152999878
5,63.66884160041809
6,77.72896528244019
7,93.12606692314148
8,103.9486927986145
9,113.15598940849304
10,120.55293273925781
11,128.307923078537
12,134.21549129486084
13,147.94827318191528
14,161.6221363544464
15,171.1150348186493
16,185.006019115448
17,192.3949122428894
18,207.36910939216614
19,211.7982165813446
20,217.92427515983582
21,227.199693441391
22,231.2428216934204
23,240.33820128440857
24,249.35602712631226
25,255.75468015670776
26,265.7729859352112
27,271.0197823047638
28,279.0387706756592
29,286.1607346534729
30,290.63332772254944
31,294.63868141174316
32,303.167751789093
33,314.55326890945435
34,322.9347994327545
35,333.48962116241455
36,337.12661027908325
37,347.47877049446106
38,352.54678750038147
39,361.5388879776001
40,367.3175575733185
41,369.95244669914246
42,375.28061079978943
43,381.13453245162964
44,390.5638656616211
45,399.79115438461304
46,407.0076394081116
47,412.9325199127197
48,418.42639327049255
49,424.6538836956024
50,424.9294903278351
