Size of Seed Set,Running Time[s]
1,15.212872743606567
2,30.358586311340332
3,45.8056845664978
4,57.09886813163757
5,72.25451564788818
6,82.0408570766449
7,95.2249813079834
8,101.56122612953186
9,116.21354579925537
10,127.48498249053955
11,134.40550827980042
12,146.08346438407898
13,150.69227504730225
14,154.7961311340332
15,169.7345414161682
16,177.59005331993103
17,192.53470087051392
18,203.99892044067383
19,211.76156449317932
20,223.1293044090271
21,232.7110230922699
22,242.23793029785156
23,248.64834141731262
24,257.65819334983826
25,265.3327317237854
26,271.28774642944336
27,277.40837931632996
28,279.4447784423828
29,292.9591507911682
30,296.13697695732117
31,304.6309883594513
32,310.3651535511017
33,315.61981320381165
34,328.29710507392883
35,332.6270864009857
36,340.74594354629517
37,355.62442541122437
38,358.71642804145813
39,366.70368480682373
40,375.8372266292572
41,384.1165359020233
42,389.86723804473877
43,399.50870990753174
44,402.52982664108276
45,406.66962146759033
46,413.6924545764923
47,418.4214577674866
48,424.28092885017395
49,429.72418117523193
50,430.0827775001526
