Size of Seed Set,Running Time[s]
1,85.65638208389282
2,16.56121850013733
3,15.778916358947754
4,15.405990839004517
5,15.805201530456543
6,15.038578271865845
7,15.020228624343872
8,15.059093236923218
9,14.838612079620361
10,14.720746755599976
11,14.734843492507935
12,14.589076519012451
13,13.878445386886597
14,14.573878288269043
15,13.767571210861206
16,13.885649681091309
17,13.985261917114258
18,13.94875192642212
19,13.834759950637817
20,14.611188173294067
21,14.42002248764038
22,13.594156742095947
23,13.779331922531128
24,14.185369729995728
25,13.633302688598633
26,13.770932674407959
27,13.727592468261719
28,13.878194332122803
29,14.129152059555054
30,14.320078611373901
31,14.135528564453125
32,13.87324857711792
33,14.195045232772827
34,14.198625802993774
35,13.961447954177856
36,14.151111841201782
37,13.830968141555786
38,14.150614261627197
39,14.225391864776611
40,14.10007905960083
41,14.010288000106812
42,13.979890584945679
43,14.075749158859253
44,13.961395740509033
45,13.855553150177002
46,13.950254917144775
47,14.191972732543945
48,14.031923532485962
49,13.94639801979065
50,14.004384279251099
