Size of Seed Set,Running Time[s]
1,189.91297721862793
2,33.3460795879364
3,29.382166147232056
4,28.726715087890625
5,24.907355546951294
6,24.917000770568848
7,23.432472705841064
8,21.92201256752014
9,21.128669023513794
10,20.86532425880432
11,21.613094329833984
12,21.08141541481018
13,20.7927463054657
14,21.244910955429077
15,20.99095320701599
16,19.67755150794983
17,19.6640887260437
18,19.84066653251648
19,19.724567413330078
20,20.60773730278015
21,19.490400791168213
22,19.70341944694519
23,19.42400884628296
24,19.15216588973999
25,18.571772813796997
26,19.2110595703125
27,18.65949296951294
28,18.974249124526978
29,18.700332403182983
30,18.98017692565918
31,19.618877172470093
32,19.040279388427734
33,18.868001222610474
34,18.589740991592407
35,18.740872383117676
36,18.69030237197876
37,19.35831069946289
38,18.833531141281128
39,18.686532497406006
40,19.16509437561035
41,19.379830598831177
42,18.241727352142334
43,18.33599877357483
44,18.681535243988037
45,18.59894871711731
46,18.64531922340393
47,18.744330883026123
48,18.571900129318237
49,18.80711269378662
50,18.18415117263794
