Size of Seed Set,Running Time[s]
1,6.342674732208252
2,6.6968958377838135
3,6.330491781234741
4,6.290218114852905
5,6.281335830688477
6,6.71250581741333
7,6.315887451171875
8,6.232589960098267
9,6.689455509185791
10,6.211430549621582
11,6.287925481796265
12,6.69545316696167
13,6.226031064987183
14,6.149307489395142
15,6.699334383010864
16,6.2614781856536865
17,6.171437501907349
18,6.6316773891448975
19,6.227071285247803
20,6.26115870475769
21,6.709953308105469
22,6.311590194702148
23,6.262168884277344
24,6.216110467910767
25,6.731883764266968
26,6.432285785675049
27,6.269885063171387
28,6.809522867202759
29,6.330954313278198
30,6.285635948181152
31,6.741313934326172
32,6.478615760803223
33,6.379801034927368
34,6.3671135902404785
35,6.778672218322754
36,6.3254570960998535
37,6.28324294090271
38,6.705506801605225
39,6.30940055847168
40,6.285112142562866
41,6.758285999298096
42,6.487093925476074
43,6.32596492767334
44,6.361509084701538
45,6.946824789047241
46,6.68522310256958
47,6.3949830532073975
48,6.81677770614624
49,6.42349648475647
50,6.519922494888306
