Size of Seed Set,Running Time[s]
1,33.37538385391235
2,33.9953088760376
3,33.70728063583374
4,31.90305733680725
5,34.81720471382141
6,24.59783387184143
7,36.131432056427
8,31.978097200393677
9,25.853044509887695
10,28.54554581642151
11,27.83470892906189
12,23.059672832489014
13,33.919994831085205
14,29.34139895439148
15,37.60458827018738
16,35.863067388534546
17,36.12569999694824
18,28.128228187561035
19,21.44659972190857
20,23.8494975566864
21,28.593892812728882
22,31.495495319366455
23,21.400487661361694
24,31.389692068099976
25,28.596749305725098
26,29.99711036682129
27,24.317201137542725
28,31.530642986297607
29,30.47725749015808
30,26.47441554069519
31,32.02711796760559
32,25.937071800231934
33,23.235867023468018
34,29.042277097702026
35,24.347330570220947
36,29.690464973449707
37,22.590943574905396
38,27.80698013305664
39,29.2383930683136
40,30.944427967071533
41,22.51541256904602
42,33.67394828796387
43,22.421851873397827
44,21.920485258102417
45,23.6243999004364
46,24.25025200843811
47,21.343096494674683
48,26.089781761169434
49,24.52690815925598
50,32.626269578933716
