Size of Seed Set,Running Time[s]
1,41.58874249458313
2,42.127010345458984
3,41.42020082473755
4,39.78085970878601
5,36.46046447753906
6,41.966145038604736
7,36.94074368476868
8,37.02796959877014
9,29.995635509490967
10,41.020225286483765
11,38.754762172698975
12,41.58820056915283
13,36.12099623680115
14,29.953619718551636
15,35.707141160964966
16,42.45153760910034
17,28.14895510673523
18,33.05605983734131
19,35.12072157859802
20,41.58064031600952
21,32.53392815589905
22,42.15618968009949
23,37.07293128967285
24,27.135510206222534
25,34.79655861854553
26,35.05277466773987
27,32.916539430618286
28,30.391672134399414
29,39.73297905921936
30,30.634942293167114
31,32.10174369812012
32,39.41729402542114
33,35.44615435600281
34,41.157816886901855
35,43.499207973480225
36,30.53015947341919
37,38.98515033721924
38,32.74534368515015
39,31.598264694213867
40,38.04624819755554
41,34.12088632583618
42,26.399989128112793
43,24.244879007339478
44,37.40473937988281
45,41.137810707092285
46,30.97255778312683
47,25.957712173461914
48,40.32365703582764
49,34.22378754615784
50,33.33723473548889
