WC,TR,P001,P0001
0,0,0,0
488.0452,72.5372,11.9548,2.008
629.3052,134.4796,21.044,4.006
959.3388,175.3212,30.1296,6.0112
1225.9364,228.3352,38.256,8.022
1374.4004,278.8212,45.8752,10.0284
1431.3592,311.2212,53.3204,12.0344
1585.4268,357.7728,60.9228,14.0532
1702.0328,392.8396,67.7684,16.0464
1803.446,425.3276,73.9988,18.0456
1910.304,449.7636,80.2184,20.0444
2047.592,470.4104,86.336,22.0964
2189.97,497.5008,92.7996,24.1468
2257.1608,525.8068,98.54,26.1552
2413.4096,551.6856,104.5356,28.15
2509.068,567.904,110.3096,30.142
2572.7532,581.8524,115.6372,32.1488
2654.982,608.9988,120.8168,34.1504
2716.7156,629.9,126.2128,36.1592
2755.662,645.6896,131.0392,38.1788
2872.2876,666.4272,136.0232,40.1828
2927.1204,682.8296,141.2204,42.1916
2981.5476,704.718,146.046,44.2272
3043.6536,720.596,151.358,46.2544
3129.7216,741.5204,155.8788,48.3932
3157.8388,757.1148,160.6536,50.4532
